AgersøGenbrugsplads326,FOM,8.73
AgersøGenbrugsplads326,FOM,8.73
DalmoseGenbrugsplads325,FOM,86.70
DianalundGenbrugsplads322,FOM,131.47
FuglebjergGenbrugsplads344,FOM,48.58
HaslevGenbrugsplads332,FAM,256.98
HerlufmagleGenbrugsplads343,FAM,87.60
Holme-OlstrupGenbrugsplads,FAM,58.38
KorsørGenbrugsplads313,FOM,72.32
MogenstrupGenbrugsplads355,FAM,110.32
MønGenbrugsplads353,FAM,177.48
NæstvedGenbrugsplads341,FAM,389.92
NæstvedGenbrugsplads341,FOM,10.55
OmøGenbrugsplads327,FOM,5.29
PræstøGenbrugsplads352,FAM,89.34
PræstøGenbrugsplads352,FAM,15.84
RingstedGenbrugsplads331,FAM,9.80
RingstedGenbrugsplads331,FOM,391.86
RønnedeGenbrugsplads333,FAM,243.36
RønnedeGenbrugsplads333,FOM,10.56
SkælskørGenbrugsplads324,FOM,91.60
SlagelseGenbrugsplads311,FOM,317.44
SlagelseGenbrugsplads311,FOM,4.40
SlagelseKloakserviceApS,FAM,3.80
SlagelseKloakserviceApS,FOM,11.77
SorøGenbrugsplads321,FOM,309.49
SorøGenbrugsplads321,FOM,5.32
SorøGenbrugsplads321,FOM,0.53
VemmelevGenbrugsplads314,FOM,112.21
VordingborgGenbrugsplads351,FAM,240.96
Faxekommune-Materialegården,FAM,0.56
FAM,FAM,2.60
LorupSkovdistrikt,FOM,7.25
MorsøSkovogNaturservice,FAM,19.30
AKEntreprenørServiceApS,FAM,35.34
AktivMiljø-ServiceApS,FAM,94.20
AlexJensenTransportApS,FAM,10.44
ArdaghGlassHolmegaardA/S,FAM,4.12
BlichfeldtNedbrydningApS,FAM,7.58
BoRasmussensEftt.A/S,FAM,7.80
ByggefirmaetPKCA/S,FAM,3.80
DalbyContainerudlejningApS,FAM,13.60
DalmoseVognmandsforretn.,FOM,52.97
DalmoseVognmandsforretn.,FOM,5.96
DHNEntrepriseApS,FOM,12.85
DSVTRANSPORTA/S,FAM,59.30
ForlevVognmandsforretning,FOM,1.85
G.TscherningA/S,FAM,8.60
G.TscherningA/S,FOM,1.56
HugoRasmussen,FOM,6.84
J.JensenMaterieludlejningA/S,FOM,44.24
JensH.HansenApS,FAM,32.28
JesperDamlundApS,FOM,5.07
JohnM.JensenentreprenørApS,FOM,5.49
KBTransportA/S,FOM,5.30
KildebrøndeTransportApS,FAM,1.36
KingoKarlsenA/S,FAM,4.50
KnudAndreassenApS,FAM,5.56
MadsensMultiservicev/RuneMadsen,FOM,2.99
MariusPedersenA/S,FAM,1.16
MariusPedersenA/S,FOM,19.47
Normann&PetersenNedbrydningA/S,FAM,137.42
Normann&PetersenNedbrydningA/S,FOM,4.62
OleLarsensVognmandsforretning,FAM,89.34
OleLarsensVognmandsforretning,FOM,3.81
P.OlesenogSønnerA/S,FAM,32.60
PrebenAndersenVognmands-ogRenovationsforretnin,FAM,5.02
PrebenAndersenVognmands-ogRenovationsforretnin,FOM,2.33
PrebenHockerupA/S,FAM,24.30
PrebenHockerupA/S,FAM,4.94
PrebenHockerupA/S,FOM,1.11
PrebenHockerupA/S,FOM,15.02
RennerPedersenEntreprise,FAM,5.88
RørbyJohansenA/S,FAM,8.70
RøsvaSkadeservice/,FOM,3.34
RøsvaSkadeservice/,FOM,2.03
RøsvaSkadeservice/,FOM,4.96
ScreenflexApS,FAM,15.40
ScreenflexApS,FAM,42.28
ScreenflexApS,FAM,47.32
SjællandsEntreprenørServiceApS,FOM,3.07
SøndergaardNedrivningA/S,FAM,7.94
SøndergaardNedrivningA/S,FOM,36.89
SøndergaardNedrivningA/S,FOM,0.17
SøndergaardNedrivningA/S,FOM,7.62
SøndergaardNedrivningA/S,FOM,9.64
Tømrefirmaet,FAM,9.78
VognmandClausLarsen,FAM,31.22
VognmandErikPerJensen,FAM,13.46
VognmandFredeAndersen&søn,,FAM,30.02
VognmandJensPeterHansen,FAM,2.68
VognmandJohnFrederiksen,FAM,50.60
VognmandJohnJørgensenApS,FAM,6.62
VognmandJohnJørgensenApS,FAM,74.50
VognmandKeenBirkemose,FOM,8.27
VognmandSørenAggerPedersen,FAM,5.64
Vognmandsforretningen,FAM,3.82
WeislederNedrivningA/S,FOM,12.68
ØdemarkGods,FOM,9.40
AageLarsen&Søn,FAM,4.00
FaxeKalk,Ovnanlægget,FAM,10.78
